Date,Rates
2019-01-01,92.0
2019-01-02,92.0
2019-01-03,89.0
2019-01-04,85.0
2019-01-05,85.0
2019-01-06,87.0
2019-01-07,87.0
2019-01-08,87.0
2019-01-09,87.0
2019-01-10,83.0
2019-01-11,79.0
2019-01-12,78.0
2019-01-13,83.0
2019-01-14,85.0
2019-01-15,88.0
2019-01-16,88.0
2019-01-17,86.0
2019-01-18,85.0
2019-01-19,82.0
2019-01-20,76.0
2019-01-21,76.0
2019-01-22,76.0
2019-01-23,76.0
2019-01-24,76.0
2019-01-25,76.0
2019-01-26,79.0
2019-01-27,81.0
2019-01-28,83.0
2019-01-29,83.0
2019-01-30,84.0
2019-01-31,84.0
2019-02-01,81.0
2019-02-02,79.0
2019-02-03,79.0
2019-02-04,73.0
2019-02-05,72.0
2019-02-06,70.0
2019-02-07,70.0
2019-02-08,73.0
2019-02-09,73.0
2019-02-10,73.0
2019-02-11,72.0
2019-02-12,72.0
2019-02-13,68.0
2019-02-14,67.0
2019-02-15,68.0
2019-02-16,68.0
2019-02-17,70.0
2019-02-18,70.0
2019-02-19,74.0
2019-02-20,74.0
2019-02-21,74.0
2019-02-22,77.0
2019-02-23,79.0
2019-02-24,84.0
2019-02-25,74.0
2019-02-26,83.0
2019-02-27,83.0
2019-02-28,78.0
2019-03-01,73.0
2019-03-02,71.0
2019-03-03,70.0
2019-03-04,70.0
2019-03-05,75.0
2019-03-06,76.0
2019-03-07,80.0
2019-03-08,79.0
2019-03-09,79.0
2019-03-10,80.0
2019-03-11,80.0
2019-03-12,82.0
2019-03-13,80.0
2019-03-14,82.0
2019-03-15,85.0
2019-03-16,85.0
2019-03-17,90.0
2019-03-18,90.0
2019-03-19,96.0
2019-03-20,105.0
2019-03-21,109.0
2019-03-22,108.0
2019-03-23,108.0
2019-03-24,106.0
2019-03-25,105.0
2019-03-26,98.0
2019-03-27,98.0
2019-03-28,92.0
2019-03-29,92.0
2019-03-30,92.0
2019-03-31,90.0
2019-04-01,90.0
2019-04-02,95.0
2019-04-03,100.0
2019-04-04,100.0
2019-04-05,102.0
2019-04-06,104.0
2019-04-07,104.0
2019-04-08,104.0
2019-04-09,103.0
2019-04-10,99.0
2019-04-11,96.0
2019-04-12,100.0
2019-04-13,89.0
2019-04-14,89.0
2019-04-15,89.0
2019-04-16,89.0
2019-04-17,94.0
2019-04-18,94.0
2019-04-19,98.0
2019-04-20,102.0
2019-04-21,105.0
2019-04-22,105.0
2019-04-23,104.0
2019-04-24,103.0
2019-04-25,103.0
2019-04-26,102.0
2019-04-27,103.0
2019-04-28,103.0
2019-04-29,103.0
2019-04-30,103.0
2019-05-01,102.0
2019-05-02,102.0
2019-05-03,102.0
2019-05-04,102.0
2019-05-05,102.0
2019-05-06,102.0
2019-05-07,99.0
2019-05-08,102.0
2019-05-09,104.0
2019-05-10,104.0
2019-05-11,106.0
2019-05-12,106.0
2019-05-13,106.0
2019-05-14,106.0
2019-05-15,104.0
2019-05-16,104.0
2019-05-17,104.0
2019-05-18,104.0
2019-05-19,107.0
2019-05-20,107.0
2019-05-21,107.0
2019-05-22,107.0
2019-05-23,107.0
2019-05-24,105.0
2019-05-25,104.0
2019-05-26,108.0
2019-05-27,108.0
2019-05-28,105.0
2019-05-29,105.0
2019-05-30,105.0
2019-05-31,107.0
2019-06-01,109.0
2019-06-02,116.0
2019-06-03,116.0
2019-06-04,120.0
2019-06-05,126.0
2019-06-06,126.0
2019-06-07,128.0
2019-06-08,130.0
2019-06-09,130.0
2019-06-10,130.0
2019-06-11,
2019-06-12,
2019-06-13,
2019-06-14,
2019-06-15,
2019-06-16,
2019-06-17,
2019-06-18,
2019-06-19,
2019-06-20,
2019-06-21,
2019-06-22,
2019-06-23,
2019-06-24,
2019-06-25,
2019-06-26,
2019-06-27,
2019-06-28,
2019-06-29,
2019-06-30,
2019-07-01,
2019-07-02,
2019-07-03,
2019-07-04,
2019-07-05,
2019-07-06,
2019-07-07,
2019-07-08,
2019-07-09,
2019-07-10,
2019-07-11,
2019-07-12,
2019-07-13,
2019-07-14,
2019-07-15,
2019-07-16,
2019-07-17,
2019-07-18,
2019-07-19,
2019-07-20,
2019-07-21,
2019-07-22,
2019-07-23,
2019-07-24,
2019-07-25,
2019-07-26,
2019-07-27,
2019-07-28,
2019-07-29,
2019-07-30,
2019-07-31,
2019-08-01,85.0
2019-08-02,85.0
2019-08-03,85.0
2019-08-04,85.0
2019-08-05,85.0
2019-08-06,80.0
2019-08-07,73.0
2019-08-08,73.0
2019-08-09,73.0
2019-08-10,73.0
2019-08-11,73.0
2019-08-12,66.0
2019-08-13,66.0
2019-08-14,66.0
2019-08-15,70.0
2019-08-16,72.0
2019-08-17,72.0
2019-08-18,74.0
2019-08-19,79.0
2019-08-20,79.0
2019-08-21,79.0
2019-08-22,74.0
2019-08-23,70.0
2019-08-24,70.0
2019-08-25,70.0
2019-08-26,70.0
2019-08-27,63.0
2019-08-28,63.0
2019-08-29,65.0
2019-08-30,65.0
2019-08-31,65.0
2019-09-01,65.0
2019-09-02,65.0
2019-09-03,59.0
2019-09-04,59.0
2019-09-05,62.0
2019-09-06,65.0
2019-09-07,67.0
2019-09-08,67.0
2019-09-09,67.0
2019-09-10,75.0
2019-09-11,75.0
2019-09-12,77.0
2019-09-13,77.0
2019-09-14,79.0
2019-09-15,79.0
2019-09-16,79.0
2019-09-17,84.0
2019-09-18,89.0
2019-09-19,91.0
2019-09-20,91.0
2019-09-21,91.0
2019-09-22,91.0
2019-09-23,91.0
2019-09-24,83.0
2019-09-25,83.0
2019-09-26,77.0
2019-09-27,77.0
2019-09-28,77.0
2019-09-29,79.0
2019-09-30,79.0
2019-10-01,79.0
2019-10-02,79.0
2019-10-03,79.0
2019-10-04,79.0
2019-10-05,76.0
2019-10-06,76.0
2019-10-07,76.0
2019-10-08,76.0
2019-10-09,80.0
2019-10-10,80.0
2019-10-11,80.0
2019-10-12,80.0
2019-10-13,80.0
2019-10-14,80.0
2019-10-15,80.0
2019-10-16,76.0
2019-10-17,75.0
2019-10-18,73.0
2019-10-19,73.0
2019-10-20,73.0
2019-10-21,73.0
2019-10-22,73.0
2019-10-23,77.0
2019-10-24,79.0
2019-10-25,79.0
2019-10-26,79.0
2019-10-27,79.0
2019-10-28,79.0
2019-10-29,71.0
2019-10-30,71.0
2019-10-31,73.0
2019-11-01,75.0
2019-11-02,77.0
2019-11-03,82.0
2019-11-04,82.0
2019-11-05,85.0
2019-11-06,88.0
2019-11-07,90.0
2019-11-08,90.0
2019-11-09,90.0
2019-11-10,93.0
2019-11-11,93.0
2019-11-12,93.0
2019-11-13,93.0
2019-11-14,93.0
2019-11-15,95.0
2019-11-16,95.0
2019-11-17,102.0
2019-11-18,102.0
2019-11-19,102.0
2019-11-20,102.0
2019-11-21,102.0
2019-11-22,102.0
2019-11-23,97.0
2019-11-24,97.0
2019-11-25,97.0
2019-11-26,92.0
2019-11-27,92.0
2019-11-28,94.0
2019-11-29,94.0
2019-11-30,94.0
2019-12-01,94.0
2019-12-02,94.0
2019-12-03,88.0
2019-12-04,88.0
2019-12-05,83.0
2019-12-06,83.0
2019-12-07,83.0
2019-12-08,83.0
2019-12-09,83.0
2019-12-10,80.0
2019-12-11,80.0
2019-12-12,82.0
2019-12-13,82.0
2019-12-14,85.0
2019-12-15,87.0
2019-12-16,87.0
2019-12-17,87.0
2019-12-18,90.0
2019-12-19,90.0
2019-12-20,90.0
2019-12-21,93.0
2019-12-22,93.0
2019-12-23,93.0
2019-12-24,96.0
2019-12-25,100.0
2019-12-26,100.0
2019-12-27,100.0
2019-12-28,100.0
2019-12-29,100.0
2019-12-30,92.0
2019-12-31,92.0
2020-01-01,92.0
2020-01-02,92.0
2020-01-03,85.0
2020-01-04,87.0
2020-01-05,90.0
2020-01-06,
2020-01-07,93.0
2020-01-08,93.0
2020-01-09,93.0
2020-01-10,88.0
2020-01-11,88.0
2020-01-12,83.0
2020-01-13,
2020-01-14,85.0
2020-01-15,87.0
2020-01-16,87.0
2020-01-17,87.0
2020-01-18,87.0
2020-01-19,87.0
2020-01-20,87.0
2020-01-21,83.0
2020-01-22,83.0
2020-01-23,85.0
2020-01-24,85.0
2020-01-25,85.0
2020-01-26,85.0
2020-01-27,85.0
2020-01-28,80.0
2020-01-29,80.0
2020-01-30,80.0
2020-01-31,80.0
2020-02-01,82.0
2020-02-02,82.0
2020-02-03,82.0
2020-02-04,77.0
2020-02-05,77.0
2020-02-06,72.0
2020-02-07,72.0
2020-02-08,72.0
2020-02-09,72.0
2020-02-10,65.0
2020-02-11,65.0
2020-02-12,65.0
2020-02-13,65.0
2020-02-14,59.0
2020-02-15,54.0
2020-02-16,54.0
2020-02-17,54.0
2020-02-18,54.0
2020-02-19,54.0
2020-02-20,54.0
2020-02-21,54.0
2020-02-22,45.0
2020-02-23,45.0
2020-02-24,45.0
2020-02-25,48.0
2020-02-26,50.0
2020-02-27,52.0
2020-02-28,52.0
2020-02-29,55.0
2020-03-01,57.0
2020-03-02,57.0
2020-03-03,57.0
2020-03-04,57.0
2020-03-05,47.0
2020-03-06,47.0
2020-03-07,47.0
2020-03-08,37.0
2020-03-09,37.0
2020-03-10,37.0
2020-03-11,30.0
2020-03-12,15.0
2020-03-13,15.0
2020-03-14,15.0
2020-03-15,20.0
2020-03-16,20.0
2020-03-17,20.0
2020-03-18,13.0
2020-03-19,23.0
2020-03-20,28.0
2020-03-21,33.0
2020-03-22,33.0
2020-03-23,33.0
2020-03-24,50.0
2020-03-25,70.0
2020-03-26,70.0
2020-03-27,80.0
2020-03-28,85.0
2020-03-29,85.0
2020-03-30,70.0
2020-03-31,70.0
2020-04-01,70.0
2020-04-02,70.0
2020-04-03,70.0
2020-04-04,72.0
2020-04-05,72.0
2020-04-06,80.0
2020-04-07,80.0
2020-04-08,85.0
2020-04-09,85.0
2020-04-10,85.0
2020-04-11,85.0
2020-04-12,85.0
2020-04-13,
2020-04-14,
2020-04-15,89.0
2020-04-16,89.0
2020-04-17,89.0
2020-04-18,89.0
2020-04-19,100.0
2020-04-20,100.0
2020-04-21,100.0
2020-04-22,100.0
2020-04-23,100.0
2020-04-24,100.0
2020-04-25,100.0
2020-04-26,
2020-04-27,
2020-04-28,
2020-04-29,82.0
2020-04-30,85.0
2020-05-01,87.0
2020-05-02,90.0
2020-05-03,95.0
2020-05-04,99.0
2020-05-05,103.0
2020-05-06,106.0
2020-05-07,106.0
2020-05-08,106.0
2020-05-09,106.0
2020-05-10,111.0
2020-05-11,113.0
2020-05-12,
2020-05-13,
2020-05-14,140.0
2020-05-15,140.0
2020-05-16,145.0
2020-05-17,150.0
2020-05-18,150.0
2020-05-19,140.0
2020-05-20,140.0
2020-05-21,130.0
2020-05-22,125.0
2020-05-23,127.0
2020-05-24,127.0
2020-05-25,127.0
2020-05-26,127.0
2020-05-27,129.0
2020-05-28,129.0
2020-05-29,134.0
2020-05-30,135.0
2020-05-31,135.0
2020-06-01,135.0
2020-06-02,137.0
2020-06-03,140.0
2020-06-04,140.0
2020-06-05,140.0
2020-06-06,140.0
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,93.0
2020-07-14,95.0
2020-07-15,97.0
2020-07-16,99.0
2020-07-17,99.0
2020-07-18,99.0
2020-07-19,90.0
2020-07-20,90.0
2020-07-21,92.0
2020-07-22,94.0
2020-07-23,94.0
2020-07-24,94.0
2020-07-25,94.0
2020-07-26,82.0
2020-07-27,98.0
2020-07-28,78.0
2020-07-29,80.0
2020-07-30,82.0
2020-07-31,90.0
2020-08-01,100.0
2020-08-02,100.0
2020-08-03,100.0
2020-08-04,100.0
2020-08-05,96.0
2020-08-06,92.0
2020-08-07,85.0
2020-08-08,85.0
2020-08-09,85.0
2020-08-10,83.0
2020-08-11,83.0
2020-08-12,85.0
2020-08-13,85.0
2020-08-14,88.0
2020-08-15,88.0
2020-08-16,88.0
2020-08-17,83.0
2020-08-18,79.0
2020-08-19,79.0
2020-08-20,79.0
2020-08-21,81.0
2020-08-22,85.0
2020-08-23,85.0
2020-08-24,88.0
2020-08-25,88.0
2020-08-26,90.0
2020-08-27,90.0
2020-08-28,92.0
2020-08-29,95.0
2020-08-30,95.0
2020-08-31,98.0
2020-09-01,103.0
2020-09-02,113.0
2020-09-03,118.0
2020-09-04,123.0
2020-09-05,123.0
2020-09-06,123.0
2020-09-07,123.0
2020-09-08,123.0
2020-09-09,113.0
2020-09-10,108.0
2020-09-11,103.0
2020-09-12,103.0
2020-09-13,103.0
2020-09-14,105.0
2020-09-15,107.0
2020-09-16,105.0
2020-09-17,112.0
2020-09-18,112.0
2020-09-19,112.0
2020-09-20,112.0
2020-09-21,112.0
2020-09-22,107.0
2020-09-23,107.0
2020-09-24,102.0
2020-09-25,103.0
2020-09-26,108.0
2020-09-27,108.0
2020-09-28,110.0
2020-09-29,110.0
2020-09-30,110.0
2020-10-01,105.0
2020-10-02,98.0
2020-10-03,100.0
2020-10-04,112.0
2020-10-05,112.0
2020-10-06,120.0
2020-10-07,125.0
2020-10-08,126.0
2020-10-09,126.0
2020-10-10,126.0
2020-10-11,126.0
2020-10-12,126.0
2020-10-13,119.0
2020-10-14,110.0
2020-10-15,106.0
2020-10-16,111.0
2020-10-17,117.0
2020-10-18,122.0
2020-10-19,122.0
2020-10-20,122.0
2020-10-21,117.0
2020-10-22,111.0
2020-10-23,114.0
2020-10-24,117.0
2020-10-25,120.0
2020-10-26,120.0
2020-10-27,107.0
2020-10-28,99.0
2020-10-29,104.0
2020-10-30,104.0
2020-10-31,109.0
2020-11-01,109.0
2020-11-02,109.0
2020-11-03,100.0
2020-11-04,95.0
2020-11-05,95.0
2020-11-06,89.0
2020-11-07,89.0
2020-11-08,89.0
2020-11-09,91.0
2020-11-10,91.0
2020-11-11,94.0
2020-11-12,94.0
2020-11-13,94.0
2020-11-14,94.0
2020-11-15,94.0
2020-11-16,95.0
2020-11-17,95.0
2020-11-18,89.0
2020-11-19,85.0
2020-11-20,87.0
2020-11-21,90.0
2020-11-22,90.0
2020-11-23,92.0
2020-11-24,92.0
2020-11-25,92.0
2020-11-26,93.0
2020-11-27,95.0
2020-11-28,105.0
2020-11-29,105.0
2020-11-30,105.0
2020-12-01,105.0
2020-12-02,105.0
2020-12-03,98.0
2020-12-04,98.0
2020-12-05,98.0
2020-12-06,90.0
2020-12-07,90.0
2020-12-08,90.0
2020-12-09,82.0
2020-12-10,82.0
2020-12-11,82.0
2020-12-12,84.0
2020-12-13,84.0
2020-12-14,86.0
2020-12-15,86.0
2020-12-16,88.0
2020-12-17,90.0
2020-12-18,92.0
2020-12-19,92.0
2020-12-20,92.0
2020-12-21,92.0
2020-12-22,89.0
2020-12-23,89.0
2020-12-24,89.0
2020-12-25,80.0
2020-12-26,80.0
2020-12-27,82.0
2020-12-28,85.0
2020-12-29,89.0
2020-12-30,89.0
2020-12-31,89.0
2021-01-01,89.0
2021-01-02,83.0
2021-01-03,83.0
2021-01-04,87.0
2021-01-05,87.0
2021-01-06,87.0
2021-01-07,87.0
2021-01-08,78.0
2021-01-09,78.0
2021-01-10,78.0
2021-01-11,68.0
2021-01-12,68.0
2021-01-13,73.0
2021-01-14,77.0
2021-01-15,80.0
2021-01-16,80.0
2021-01-17,80.0
2021-01-18,71.0
2021-01-19,71.0
2021-01-20,80.0
2021-01-21,63.0
2021-01-22,63.0
2021-01-23,63.0
2021-01-24,63.0
2021-01-25,65.0
2021-01-26,65.0
2021-01-27,70.0
2021-01-28,72.0
2021-01-29,77.0
2021-01-30,82.0
2021-01-31,84.0
2021-02-01,84.0
2021-02-02,84.0
2021-02-03,79.0
2021-02-04,71.0
2021-02-05,63.0
2021-02-06,63.0
2021-02-07,66.0
2021-02-08,66.0
2021-02-09,66.0
2021-02-10,66.0
2021-02-11,68.0
2021-02-12,73.0
2021-02-13,80.0
2021-02-14,80.0
2021-02-15,80.0
2021-02-16,80.0
2021-02-17,75.0
2021-02-18,75.0
2021-02-19,75.0
2021-02-20,80.0
2021-02-21,80.0
2021-02-22,85.0
2021-02-23,87.0
2021-02-24,89.0
2021-02-25,89.0
2021-02-26,89.0
2021-02-27,89.0
2021-02-28,89.0
2021-03-01,92.0
2021-03-02,95.0
2021-03-03,100.0
2021-03-04,107.0
2021-03-05,110.0
2021-03-06,115.0
2021-03-07,115.0
2021-03-08,115.0
2021-03-09,115.0
2021-03-10,108.0
2021-03-11,100.0
2021-03-12,102.0
2021-03-13,104.0
2021-03-14,104.0
2021-03-15,108.0
2021-03-16,108.0
2021-03-17,108.0
2021-03-18,103.0
2021-03-19,98.0
2021-03-20,98.0
2021-03-21,98.0
2021-03-22,103.0
2021-03-23,110.0
2021-03-24,110.0
2021-03-25,110.0
2021-03-26,110.0
2021-03-27,110.0
2021-03-28,110.0
2021-03-29,115.0
2021-03-30,117.0
2021-03-31,119.0
2021-04-01,122.0
2021-04-02,127.0
2021-04-03,135.0
2021-04-04,140.0
2021-04-05,142.0
2021-04-06,144.0
2021-04-07,144.0
2021-04-08,144.0
2021-04-09,135.0
2021-04-10,126.0
2021-04-11,116.0
2021-04-12,116.0
2021-04-13,111.0
2021-04-14,111.0
2021-04-15,111.0
2021-04-16,104.0
2021-04-17,104.0
2021-04-18,104.0
2021-04-19,96.0
2021-04-20,90.0
2021-04-21,85.0
2021-04-22,78.0
2021-04-23,70.0
2021-04-24,70.0
2021-04-25,70.0
2021-04-26,72.0
2021-04-27,75.0
2021-04-28,75.0
2021-04-29,75.0
2021-04-30,65.0
2021-05-01,60.0
2021-05-02,60.0
2021-05-03,60.0
2021-05-04,62.0
2021-05-05,64.0
2021-05-06,66.0
2021-05-07,72.0
2021-05-08,80.0
2021-05-09,85.0
2021-05-10,90.0
2021-05-11,92.0
2021-05-12,92.0
2021-05-13,92.0
2021-05-14,82.0
2021-05-15,82.0
2021-05-16,72.0
2021-05-17,72.0
2021-05-18,75.0
2021-05-19,80.0
2021-05-20,85.0
2021-05-21,90.0
2021-05-22,95.0
2021-05-23,95.0
2021-05-24,95.0
2021-05-25,88.0
2021-05-26,78.0
2021-05-27,78.0
2021-05-28,80.0
2021-05-29,85.0
2021-05-30,88.0
2021-05-31,93.0
2021-06-01,97.0
2021-06-02,95.0
2021-06-03,97.0
2021-06-04,99.0
2021-06-05,104.0
2021-06-06,104.0
2021-06-07,109.0
2021-06-08,109.0
2021-06-09,109.0
2021-06-10,100.0
2021-06-11,90.0
2021-06-12,90.0
2021-06-13,92.0
2021-06-14,94.0
2021-06-15,99.0
2021-06-16,104.0
2021-06-17,106.0
2021-06-18,106.0
2021-06-19,106.0
2021-06-20,96.0
2021-06-21,98.0
2021-06-22,101.0
2021-06-23,101.0
2021-06-24,101.0
2021-06-25,101.0
2021-06-26,101.0
2021-06-27,101.0
2021-06-28,101.0
2021-06-29,109.0
2021-06-30,110.0
2021-07-01,114.0
2021-07-02,114.0
2021-07-03,114.0
2021-07-04,116.0
2021-07-05,120.0
2021-07-06,122.0
2021-07-07,124.0
2021-07-08,125.0
2021-07-09,127.0
2021-07-10,130.0
2021-07-11,132.0
2021-07-12,133.0
2021-07-13,133.0
2021-07-14,133.0
2021-07-15,133.0
2021-07-16,135.0
2021-07-17,139.0
2021-07-18,139.0
2021-07-19,139.0
2021-07-20,139.0
2021-07-21,130.0
2021-07-22,130.0
2021-07-23,132.0
2021-07-24,132.0
2021-07-25,132.0
2021-07-26,132.0
2021-07-27,122.0
2021-07-28,122.0
2021-07-29,112.0
2021-07-30,112.0
2021-07-31,114.0
2021-08-01,114.0
2021-08-02,116.0
2021-08-03,117.0
2021-08-04,117.0
2021-08-05,117.0
2021-08-06,117.0
2021-08-07,117.0
2021-08-08,107.0
2021-08-09,107.0
2021-08-10,109.0
2021-08-11,111.0
2021-08-12,113.0
2021-08-13,118.0
2021-08-14,123.0
2021-08-15,125.0
2021-08-16,128.0
2021-08-17,130.0
2021-08-18,130.0
2021-08-19,130.0
2021-08-20,130.0
2021-08-21,132.0
2021-08-22,132.0
2021-08-23,132.0
2021-08-24,132.0
2021-08-25,123.0
2021-08-26,123.0
2021-08-27,123.0
2021-08-28,125.0
2021-08-29,125.0
2021-08-30,125.0
2021-08-31,125.0
2021-09-01,116.0
2021-09-02,116.0
2021-09-03,118.0
2021-09-04,121.0
2021-09-05,121.0
2021-09-06,121.0
2021-09-07,121.0
2021-09-08,123.0
2021-09-09,123.0
2021-09-10,123.0
2021-09-11,123.0
2021-09-12,123.0
2021-09-13,125.0
2021-09-14,125.0
2021-09-15,115.0
2021-09-16,115.0
2021-09-17,117.0
2021-09-18,122.0
2021-09-19,124.0
2021-09-20,127.0
2021-09-21,129.0
2021-09-22,131.0
2021-09-23,133.0
2021-09-24,
2021-09-25,
2021-09-26,
2021-09-27,
2021-09-30,126.0
